-0.8492	-0.4970	-0.3818	-0.6684	-0.8013	-0.6317	-0.4720	-0.2507	-0.2123	-0.3944	-0.4206	-0.5339	-0.5743	-0.7701	-0.5743	-0.4812	-0.4151
0.2790	-0.0408	-0.2259	-0.1976	-0.1388	-0.2208	-0.1896	-0.0556	0.0420	0.3137	0.1974	0.1948	0.1114	0.0708	0.1146	0.0593	0.3449
0.1323	-0.1049	-0.5236	-0.6317	-0.5445	-0.5409	-0.4843	-0.2507	-0.1430	0.0259	0.0220	-0.0135	-0.0722	-0.2329	-0.1695	-0.2277	0.0111
0.2523	0.1002	-0.1088	-0.4751	-0.6542	-0.8564	-0.3893	0.1216	0.2227	0.4303	0.2506	0.0448	-0.1154	-0.3672	-0.2025	-0.0231	0.1856
0.5899	0.5768	0.4408	0.2933	0.1051	-0.0210	-0.0441	0.0828	0.1232	0.1479	0.0220	-0.0820	-0.1634	-0.1802	-0.0430	0.0191	0.2785
-0.2949	-0.2969	-0.1960	-0.2041	-0.1374	-0.1128	-0.2057	-0.2123	0.0051	0.4405	0.3061	0.0961	0.0041	0.0363	0.0383	0.2013	0.3102
-0.3868	-0.4020	-0.6405	-0.6187	-0.6684	-0.6405	-0.8716	-0.4970	-0.2346	-0.1802	-0.2346	-0.4098	-0.4370	-0.8210	-0.6684	-0.5339	-0.3220
0.0171	0.1678	-0.0946	-0.0521	0.1308	0.1961	0.2437	0.1551	0.2306	0.6204	0.5702	0.4141	0.2471	0.2535	0.2384	0.2378	0.4041
-0.2140	-0.1560	-0.3770	-0.4399	-0.4232	-0.3509	-0.2140	0.0031	-0.0591	-0.1023	-0.1416	-0.2771	-0.3220	-0.4907	-0.2929	-0.2507	-0.1263
-0.5704	-0.1912	-0.3745	-0.5305	-0.5667	-0.4660	-0.1664	0.0637	0.0521	0.0969	-0.0603	-0.2889	-0.3555	-0.3818	-0.1575	0.0566	-0.0135
-0.2752	-0.3918	-0.2471	-0.4232	-0.4020	-0.4938	-0.4483	-0.3944	-0.3601	-0.1880	-0.2638	-0.3030	-0.4286	-0.3893	-0.4370	-0.5167	-0.2400
0.2828	-0.1473	-0.4046	-0.2675	-0.1546	-0.3093	-0.3625	-0.1755	-0.0833	0.1916	0.2881	0.2064	0.0539	0.1042	0.0819	0.0575	0.3041
